countryName,reportingYear,pollutant,emissions
Austria,2012,PCDD + PCDF (dioxins + furans) (as Teq),0.0116
Austria,2012,Pentachlorophenol (PCP),5.08
Austria,2012,Phenols (as total C),419
Austria,2012,Total nitrogen,5412800
Austria,2012,Total organic carbon(as total C or COD/3) (TOC),15279100
Austria,2012,Total phosphorus,349940
Austria,2012,Tributyltin and compounds,1.57
Austria,2012,Trichloroethylene (TRI),14.4
Austria,2012,Trichloromethane,27.2
Austria,2012,Zinc and compounds (as Zn),70703
Austria,2013,Arsenic and compounds (as As),331.33
Austria,2013,Cadmium and compounds (as Cd),56.64
Austria,2013,Chlorides (as total Cl),23100000
Austria,2013,"Chloro-alkanes, C10-C13",5
Austria,2013,Chromium and compounds (as Cr),3273.7
Austria,2013,Copper and compounds (as Cu),6714
Austria,2013,Cyanides (as total CN),1495
Austria,2013,Di-(2-ethyl hexyl) phthalate (DEHP),90.98
Austria,2013,Diuron,58.5
Austria,2013,Fluorides (as total F),122670
Austria,2013,Halogenated organic compounds (as AOX),58330
Austria,2013,Isoproturon,1.08
Austria,2013,Lead and compounds (as Pb),1645.8
Austria,2013,Mercury and compounds (as Hg),18
Austria,2013,Nickel and compounds (as Ni),15717.2
Austria,2013,Nonylphenol and Nonylphenol ethoxylates,165.1
Austria,2013,Octylphenols and Octylphenol ethoxylates,7.29
Austria,2013,PCDD + PCDF (dioxins + furans) (as Teq),0.0148
Austria,2013,Pentachlorophenol (PCP),5.26
Austria,2013,Phenols (as total C),2732
Austria,2013,Polycyclic aromatic hydrocarbons (PAHs),5.23
Austria,2013,Total nitrogen,5810600
Austria,2013,Total organic carbon(as total C or COD/3) (TOC),16706700
Austria,2013,Total phosphorus,384390
Austria,2013,Tributyltin and compounds,1.74
Austria,2013,Trichloromethane,179
Austria,2013,Zinc and compounds (as Zn),82217
Austria,2014,Arsenic and compounds (as As),18.92
Austria,2014,Cadmium and compounds (as Cd),34.49
Austria,2014,Chlorides (as total Cl),31600000
Austria,2014,"Chloro-alkanes, C10-C13",12.74
Austria,2014,Chromium and compounds (as Cr),1340.8
Austria,2014,Copper and compounds (as Cu),6006.3
Austria,2014,Cyanides (as total CN),1178
Austria,2014,Di-(2-ethyl hexyl) phthalate (DEHP),46
Austria,2014,Dichloromethane (DCM),26.5
Austria,2014,Diuron,56.43
Austria,2014,Fluorides (as total F),102200
Austria,2014,Halogenated organic compounds (as AOX),37760
Austria,2014,Lead and compounds (as Pb),1008.3
Austria,2014,Mercury and compounds (as Hg),8
Austria,2014,Nickel and compounds (as Ni),4814.3
Austria,2014,Nonylphenol and Nonylphenol ethoxylates,130.27
Austria,2014,Pentachlorophenol (PCP),5.61
Austria,2014,Phenols (as total C),65.3
Austria,2014,Total nitrogen,4778200
Austria,2014,Total organic carbon(as total C or COD/3) (TOC),15528000
Austria,2014,Total phosphorus,355220
Austria,2014,Tributyltin and compounds,1.7
Austria,2014,Trichloromethane,22.6
Austria,2014,Zinc and compounds (as Zn),100550
Austria,2015,Anthracene,1.86
Austria,2015,Arsenic and compounds (as As),195.65
Austria,2015,Cadmium and compounds (as Cd),15.19
Austria,2015,"Chloro-alkanes, C10-C13",20
Austria,2015,Chromium and compounds (as Cr),1103
Austria,2015,Copper and compounds (as Cu),5093.3
Austria,2015,Cyanides (as total CN),2339
Austria,2015,Di-(2-ethyl hexyl) phthalate (DEHP),12.89
Austria,2015,Dichloromethane (DCM),31.2
