ID,OBS_VALUE
AT,1.16
BE,5.72
BG,1.95
CY,80.91
CZ,11.79
DE,8.09
DK,2.87
EE,8.98
EL,14.9
ES,10.11
FI,1.67
FR,2.88
HR,0.19
HU,1.43
IE,0.49
IT,12.92
LT,1.98
LU,0.29
LV,0.35
MT,26.57
NL,2.31
PL,6.8
PT,44
RO,12.21
SE,0.85
SI,0.52
SK,0.69
